"","x"
"1",8
"2",1
"3",11
"4",7
"5",1
"6",4
"7",8
"8",8
"9",1
"10",8
"11",2
"12",7
"13",11
"14",8
"15",2
"16",11
"17",9
"18",4
"19",9
"20",8
"21",2
"22",7
"23",7
"24",8
"25",6
"26",11
"27",5
"28",2
"29",3
"30",3
"31",5
"32",9
"33",5
"34",4
"35",3
"36",1
"37",11
"38",6
"39",9
"40",1
"41",11
"42",3
"43",3
"44",8
"45",6
"46",10
"47",8
"48",4
"49",2
"50",7
"51",4
"52",7
"53",3
"54",9
"55",5
"56",6
"57",4
"58",7
"59",5
"60",6
"61",9
"62",4
"63",7
"64",11
"65",3
"66",9
"67",4
"68",3
"69",1
"70",7
"71",10
"72",10
"73",2
"74",2
"75",2
"76",6
"77",2
"78",7
"79",4
"80",8
"81",8
"82",5
"83",11
"84",4
"85",5
"86",4
"87",4
"88",2
"89",11
"90",5
"91",8
"92",1
"93",2
"94",6
"95",7
"96",4
"97",2
"98",1
"99",11
"100",6
"101",6
"102",7
"103",2
"104",11
"105",8
"106",8
"107",7
"108",6
"109",2
"110",7
"111",7
"112",8
"113",7
"114",5
"115",2
"116",2
"117",5
"118",11
"119",10
"120",1
"121",9
"122",10
"123",5
"124",6
"125",6
"126",1
"127",5
"128",9
"129",7
"130",8
"131",5
"132",10
"133",2
"134",8
"135",5
"136",11
"137",10
"138",4
"139",2
"140",6
"141",2
"142",1
"143",11
"144",1
"145",11
"146",6
"147",8
"148",4
"149",10
"150",5
"151",6
"152",7
"153",10
"154",9
"155",2
"156",10
"157",8
"158",9
"159",5
"160",10
"161",6
"162",7
"163",4
"164",9
"165",6
"166",10
"167",3
"168",8
"169",7
"170",7
"171",4
"172",6
"173",4
"174",3
"175",3
"176",3
"177",1
"178",11
"179",3
"180",3
"181",2
"182",9
"183",7
"184",9
"185",7
"186",3
"187",10
"188",10
"189",4
"190",1
"191",2
"192",8
"193",1
"194",9
"195",4
"196",3
"197",6
"198",2
"199",5
"200",10
