"","x"
"1",8
"2",3
"3",9
"4",5
"5",11
"6",10
"7",11
"8",6
"9",4
"10",8
"11",2
"12",10
"13",11
"14",4
"15",10
"16",10
"17",10
"18",4
"19",9
"20",8
"21",5
"22",6
"23",9
"24",5
"25",5
"26",11
"27",5
"28",1
"29",3
"30",5
"31",10
"32",2
"33",5
"34",8
"35",2
"36",3
"37",11
"38",3
"39",2
"40",4
"41",3
"42",3
"43",3
"44",2
"45",6
"46",10
"47",8
"48",2
"49",9
"50",5
"51",8
"52",11
"53",11
"54",9
"55",5
"56",4
"57",4
"58",4
"59",5
"60",8
"61",9
"62",4
"63",7
"64",2
"65",9
"66",9
"67",4
"68",3
"69",1
"70",9
"71",10
"72",1
"73",11
"74",1
"75",2
"76",2
"77",1
"78",7
"79",11
"80",2
"81",8
"82",5
"83",11
"84",4
"85",5
"86",4
"87",3
"88",10
"89",4
"90",5
"91",8
"92",3
"93",4
"94",5
"95",1
"96",11
"97",2
"98",1
"99",11
"100",6
"101",11
"102",5
"103",7
"104",10
"105",8
"106",1
"107",2
"108",11
"109",4
"110",3
"111",4
"112",9
"113",7
"114",2
"115",2
"116",4
"117",2
"118",11
"119",6
"120",6
"121",8
"122",3
"123",9
"124",10
"125",3
"126",1
"127",10
"128",7
"129",10
"130",3
"131",7
"132",3
"133",1
"134",10
"135",11
"136",3
"137",6
"138",1
"139",9
"140",6
"141",8
"142",4
"143",3
"144",7
"145",9
"146",6
"147",10
"148",9
"149",1
"150",10
"151",1
"152",9
"153",11
"154",9
"155",4
"156",10
"157",8
"158",10
"159",8
"160",10
"161",6
"162",4
"163",4
"164",2
"165",6
"166",2
"167",1
"168",8
"169",7
"170",4
"171",4
"172",10
"173",9
"174",2
"175",3
"176",9
"177",5
"178",5
"179",3
"180",3
"181",11
"182",9
"183",7
"184",10
"185",11
"186",7
"187",11
"188",10
"189",10
"190",1
"191",2
"192",8
"193",9
"194",7
"195",10
"196",11
"197",11
"198",1
"199",5
"200",3
