"","x"
"1",5
"2",7
"3",5
"4",7
"5",4
"6",1
"7",6
"8",6
"9",5
"10",3
"11",7
"12",7
"13",4
"14",5
"15",2
"16",1
"17",6
"18",5
"19",6
"20",3
"21",3
"22",7
"23",4
"24",1
"25",1
"26",5
"27",6
"28",1
"29",1
"30",5
"31",1
"32",1
"33",1
"34",7
"35",7
"36",5
"37",6
"38",7
"39",4
"40",3
"41",1
"42",5
"43",7
"44",2
"45",4
"46",3
"47",3
"48",6
"49",3
"50",5
"51",4
"52",3
"53",4
"54",5
"55",3
"56",6
"57",2
"58",1
"59",3
"60",6
"61",3
"62",4
"63",2
"64",3
"65",6
"66",3
"67",3
"68",2
"69",5
"70",3
"71",4
"72",4
"73",2
"74",3
"75",4
"76",4
"77",1
"78",1
"79",1
"80",2
"81",6
"82",4
"83",1
"84",2
"85",6
"86",7
"87",6
"88",5
"89",6
"90",7
"91",6
"92",5
"93",3
"94",3
"95",7
"96",4
"97",3
"98",6
"99",7
"100",2
"101",1
"102",2
"103",2
"104",5
"105",6
"106",2
"107",7
"108",7
"109",3
"110",6
"111",1
"112",6
"113",5
"114",5
"115",4
"116",5
"117",1
"118",3
"119",5
"120",7
"121",6
"122",6
"123",4
"124",1
"125",2
"126",1
"127",5
"128",1
"129",7
"130",4
"131",5
"132",4
"133",2
"134",4
"135",2
"136",3
"137",2
"138",2
"139",4
"140",2
"141",1
"142",2
"143",1
"144",6
"145",2
"146",7
"147",3
"148",3
"149",4
"150",2
"151",7
"152",2
"153",6
"154",4
"155",3
"156",4
"157",6
"158",6
"159",6
"160",6
"161",1
"162",7
"163",2
"164",3
"165",4
"166",3
"167",2
"168",4
"169",3
"170",1
"171",3
"172",2
"173",6
"174",4
"175",2
"176",4
"177",3
"178",6
"179",3
"180",4
"181",5
"182",7
"183",3
"184",5
"185",6
"186",5
"187",5
"188",7
"189",2
"190",5
"191",4
"192",6
"193",6
"194",4
"195",3
"196",5
"197",4
"198",3
"199",4
"200",4
