"","x"
"1",8
"2",5
"3",1
"4",3
"5",5
"6",4
"7",11
"8",8
"9",3
"10",8
"11",2
"12",5
"13",11
"14",4
"15",10
"16",9
"17",7
"18",4
"19",9
"20",4
"21",2
"22",3
"23",3
"24",11
"25",8
"26",11
"27",5
"28",2
"29",6
"30",4
"31",4
"32",5
"33",5
"34",5
"35",11
"36",1
"37",11
"38",10
"39",9
"40",8
"41",11
"42",3
"43",3
"44",8
"45",1
"46",10
"47",8
"48",9
"49",1
"50",11
"51",7
"52",4
"53",7
"54",9
"55",1
"56",7
"57",8
"58",9
"59",10
"60",10
"61",9
"62",2
"63",7
"64",8
"65",11
"66",9
"67",4
"68",3
"69",1
"70",4
"71",10
"72",7
"73",5
"74",6
"75",2
"76",11
"77",7
"78",7
"79",5
"80",4
"81",3
"82",5
"83",11
"84",10
"85",5
"86",4
"87",1
"88",3
"89",3
"90",5
"91",8
"92",4
"93",10
"94",7
"95",9
"96",5
"97",2
"98",1
"99",11
"100",4
"101",6
"102",6
"103",7
"104",7
"105",8
"106",4
"107",5
"108",5
"109",2
"110",3
"111",4
"112",7
"113",8
"114",7
"115",2
"116",5
"117",4
"118",11
"119",1
"120",5
"121",3
"122",4
"123",2
"124",8
"125",11
"126",1
"127",6
"128",2
"129",11
"130",3
"131",3
"132",6
"133",10
"134",11
"135",7
"136",1
"137",10
"138",1
"139",11
"140",6
"141",11
"142",10
"143",8
"144",3
"145",3
"146",6
"147",11
"148",7
"149",10
"150",8
"151",6
"152",9
"153",5
"154",9
"155",4
"156",10
"157",9
"158",10
"159",1
"160",10
"161",6
"162",4
"163",10
"164",9
"165",5
"166",4
"167",4
"168",8
"169",7
"170",7
"171",4
"172",6
"173",11
"174",2
"175",3
"176",11
"177",2
"178",6
"179",3
"180",3
"181",8
"182",9
"183",7
"184",4
"185",1
"186",7
"187",7
"188",10
"189",6
"190",1
"191",2
"192",8
"193",2
"194",2
"195",5
"196",7
"197",5
"198",8
"199",9
"200",10
