"","x"
"1",5
"2",7
"3",6
"4",7
"5",3
"6",5
"7",6
"8",6
"9",7
"10",3
"11",7
"12",2
"13",4
"14",4
"15",5
"16",2
"17",3
"18",3
"19",6
"20",5
"21",6
"22",7
"23",1
"24",6
"25",1
"26",3
"27",5
"28",1
"29",3
"30",1
"31",6
"32",1
"33",1
"34",7
"35",2
"36",7
"37",1
"38",6
"39",4
"40",3
"41",6
"42",2
"43",7
"44",4
"45",3
"46",6
"47",2
"48",6
"49",4
"50",3
"51",4
"52",1
"53",5
"54",3
"55",7
"56",2
"57",3
"58",5
"59",2
"60",5
"61",2
"62",3
"63",5
"64",5
"65",6
"66",3
"67",2
"68",2
"69",4
"70",7
"71",3
"72",4
"73",2
"74",4
"75",4
"76",1
"77",2
"78",1
"79",1
"80",4
"81",5
"82",1
"83",2
"84",1
"85",7
"86",4
"87",6
"88",5
"89",6
"90",6
"91",2
"92",4
"93",2
"94",6
"95",6
"96",3
"97",2
"98",2
"99",6
"100",4
"101",3
"102",2
"103",3
"104",4
"105",7
"106",4
"107",7
"108",7
"109",2
"110",6
"111",2
"112",6
"113",7
"114",5
"115",2
"116",6
"117",1
"118",3
"119",4
"120",7
"121",6
"122",4
"123",5
"124",4
"125",2
"126",1
"127",4
"128",1
"129",3
"130",4
"131",5
"132",6
"133",2
"134",5
"135",2
"136",2
"137",2
"138",1
"139",6
"140",6
"141",1
"142",7
"143",1
"144",6
"145",7
"146",6
"147",5
"148",6
"149",7
"150",2
"151",7
"152",2
"153",4
"154",4
"155",4
"156",6
"157",3
"158",5
"159",6
"160",5
"161",3
"162",6
"163",4
"164",3
"165",2
"166",6
"167",1
"168",4
"169",3
"170",4
"171",6
"172",7
"173",5
"174",6
"175",1
"176",7
"177",6
"178",4
"179",7
"180",2
"181",3
"182",4
"183",3
"184",5
"185",5
"186",1
"187",2
"188",7
"189",2
"190",4
"191",7
"192",4
"193",6
"194",4
"195",3
"196",7
"197",3
"198",3
"199",4
"200",4
