"","V1","V2","V3","V4","V5"
"1",0.00845749195379588,0.0503380040131096,0.0140976709544351,0.00234455553414306,0.0024044017573171
"2",0.103481007970339,0.0045282725864999,0.00475928094263729,0.063177419318735,0.00699575528775636
"3",0.00244104431221509,0.0210399801380183,0.0181263826092971,0.0690195472138962,0.0736652720226995
"4",0.0493361448185299,0.0273442773124592,0.00786452031840978,0.167759094071034,0.0234492821361493
"5",0.00145722996144956,0.525415502384453,0.160988290273575,7.81173748124111e-05,0.0124176059323329
"6",0.237390620767795,0.00343679885054259,0.0170165840479929,0.0414022113901096,0.0292871064064368
"7",0.0182806615710278,0.00442671203217712,0.00887081161159179,0.0112716471192643,0.00249920780127798
"8",0.000584143982775906,0.0161503683228867,0.0172273581862906,0.372243681979871,0.0379382035048242
"9",0.0178154092415955,0.0198317561302556,0.510333553111359,0.0902675341795925,0.285884944476476
"10",0.0139147298079074,0.000707690398512608,0.00862422707451416,0.00182717073673183,0.0222418109510276
"11",0.00713122657293393,0.151447469661167,0.00719396525012635,0.0355449516447049,0.0038799267876678
"12",0.0299277255986589,0.020644881794881,0.00220859007900442,0.0181503690743052,0.0228912982540139
"13",0.0141356381695761,0.0176130510189624,0.00676901024927234,0.0130787943973695,0.0184866901646603
"14",0.00127085893340398,0.0281055435341274,0.0105453778027623,0.0124415086141688,0.0174159451881868
"15",0.00823124761014493,0.00186500958725889,0.0781404530467717,0.0263801856025006,0.0185272969040878
"16",0.00152896703709251,0.000196610342061768,0.0321054560118591,0.0152029945590543,0.0482976203452664
"17",0.128998567062539,0.0490942306157995,0.0464717875196944,0.00784121170141924,0.00677093352831367
"18",0.253457600145385,0.0046258550934093,0.00214730177733765,0.0215146425206598,0.0116661000471573
"19",0.0730149132487035,0.0109325591183661,0.0315545422488357,0.0109636073033924,0.00304888061064243
"20",0.0291447712341303,0.0422554270650524,0.0149548368842324,0.019490755664236,0.352231717893706
