"","x"
"1",8
"2",9
"3",2
"4",1
"5",1
"6",2
"7",9
"8",11
"9",6
"10",8
"11",2
"12",5
"13",11
"14",4
"15",11
"16",2
"17",11
"18",4
"19",9
"20",11
"21",8
"22",5
"23",3
"24",5
"25",8
"26",11
"27",5
"28",8
"29",4
"30",7
"31",7
"32",7
"33",5
"34",11
"35",7
"36",5
"37",11
"38",1
"39",9
"40",10
"41",10
"42",3
"43",3
"44",5
"45",5
"46",10
"47",8
"48",7
"49",7
"50",3
"51",10
"52",10
"53",8
"54",9
"55",8
"56",10
"57",11
"58",8
"59",8
"60",11
"61",9
"62",3
"63",7
"64",3
"65",2
"66",9
"67",4
"68",3
"69",1
"70",9
"71",10
"72",7
"73",11
"74",2
"75",2
"76",2
"77",1
"78",7
"79",8
"80",6
"81",5
"82",5
"83",11
"84",5
"85",5
"86",4
"87",9
"88",5
"89",10
"90",5
"91",8
"92",2
"93",4
"94",9
"95",1
"96",6
"97",2
"98",1
"99",11
"100",1
"101",10
"102",2
"103",11
"104",9
"105",8
"106",6
"107",2
"108",2
"109",10
"110",11
"111",5
"112",8
"113",8
"114",9
"115",2
"116",1
"117",8
"118",11
"119",9
"120",6
"121",2
"122",4
"123",5
"124",1
"125",11
"126",1
"127",4
"128",9
"129",4
"130",11
"131",1
"132",7
"133",3
"134",10
"135",3
"136",2
"137",8
"138",5
"139",8
"140",6
"141",9
"142",4
"143",5
"144",8
"145",4
"146",6
"147",7
"148",6
"149",2
"150",9
"151",2
"152",8
"153",7
"154",9
"155",8
"156",10
"157",9
"158",1
"159",10
"160",10
"161",6
"162",10
"163",2
"164",11
"165",9
"166",10
"167",10
"168",8
"169",7
"170",9
"171",4
"172",6
"173",2
"174",6
"175",3
"176",4
"177",1
"178",6
"179",3
"180",3
"181",5
"182",9
"183",7
"184",10
"185",2
"186",4
"187",7
"188",10
"189",9
"190",1
"191",2
"192",8
"193",1
"194",8
"195",10
"196",10
"197",5
"198",8
"199",10
"200",11
