"","x"
"1",5
"2",7
"3",2
"4",6
"5",3
"6",6
"7",3
"8",6
"9",6
"10",1
"11",7
"12",7
"13",4
"14",1
"15",3
"16",1
"17",2
"18",2
"19",6
"20",7
"21",1
"22",7
"23",7
"24",4
"25",1
"26",4
"27",5
"28",7
"29",3
"30",7
"31",2
"32",1
"33",1
"34",7
"35",5
"36",1
"37",6
"38",6
"39",4
"40",3
"41",4
"42",3
"43",6
"44",2
"45",1
"46",4
"47",4
"48",6
"49",6
"50",2
"51",4
"52",4
"53",7
"54",1
"55",5
"56",3
"57",3
"58",1
"59",4
"60",2
"61",7
"62",3
"63",7
"64",1
"65",6
"66",3
"67",2
"68",2
"69",3
"70",5
"71",1
"72",4
"73",2
"74",3
"75",4
"76",5
"77",6
"78",1
"79",1
"80",5
"81",1
"82",7
"83",6
"84",1
"85",6
"86",5
"87",6
"88",5
"89",2
"90",2
"91",3
"92",4
"93",3
"94",6
"95",6
"96",7
"97",1
"98",6
"99",6
"100",1
"101",4
"102",3
"103",7
"104",4
"105",2
"106",2
"107",4
"108",5
"109",2
"110",6
"111",3
"112",6
"113",7
"114",5
"115",2
"116",5
"117",1
"118",3
"119",4
"120",7
"121",6
"122",7
"123",2
"124",5
"125",3
"126",1
"127",7
"128",3
"129",4
"130",4
"131",6
"132",5
"133",1
"134",4
"135",3
"136",6
"137",4
"138",1
"139",4
"140",7
"141",1
"142",6
"143",1
"144",6
"145",3
"146",1
"147",3
"148",7
"149",5
"150",2
"151",2
"152",2
"153",5
"154",4
"155",6
"156",6
"157",1
"158",5
"159",6
"160",5
"161",5
"162",7
"163",1
"164",3
"165",3
"166",6
"167",1
"168",3
"169",2
"170",6
"171",2
"172",2
"173",7
"174",7
"175",7
"176",5
"177",3
"178",4
"179",2
"180",7
"181",5
"182",5
"183",3
"184",5
"185",5
"186",3
"187",6
"188",7
"189",7
"190",6
"191",2
"192",2
"193",6
"194",4
"195",3
"196",5
"197",1
"198",3
"199",4
"200",4
