"","x"
"1",4
"2",7
"3",7
"4",5
"5",3
"6",7
"7",5
"8",6
"9",6
"10",4
"11",7
"12",1
"13",4
"14",5
"15",7
"16",2
"17",6
"18",3
"19",6
"20",4
"21",7
"22",7
"23",1
"24",6
"25",1
"26",1
"27",4
"28",2
"29",5
"30",5
"31",2
"32",1
"33",1
"34",7
"35",5
"36",1
"37",7
"38",6
"39",4
"40",3
"41",2
"42",7
"43",7
"44",4
"45",6
"46",4
"47",4
"48",6
"49",5
"50",3
"51",4
"52",1
"53",6
"54",3
"55",6
"56",1
"57",1
"58",6
"59",2
"60",6
"61",2
"62",4
"63",6
"64",7
"65",6
"66",3
"67",2
"68",2
"69",6
"70",3
"71",7
"72",4
"73",2
"74",4
"75",7
"76",7
"77",7
"78",1
"79",1
"80",2
"81",1
"82",4
"83",1
"84",1
"85",2
"86",3
"87",6
"88",5
"89",6
"90",3
"91",3
"92",4
"93",5
"94",4
"95",6
"96",5
"97",2
"98",2
"99",6
"100",1
"101",3
"102",6
"103",2
"104",4
"105",7
"106",1
"107",1
"108",6
"109",2
"110",6
"111",7
"112",6
"113",5
"114",5
"115",3
"116",1
"117",1
"118",3
"119",4
"120",7
"121",6
"122",1
"123",3
"124",7
"125",7
"126",1
"127",7
"128",1
"129",6
"130",4
"131",6
"132",3
"133",5
"134",4
"135",5
"136",6
"137",6
"138",1
"139",6
"140",1
"141",1
"142",7
"143",1
"144",6
"145",7
"146",1
"147",2
"148",5
"149",7
"150",2
"151",7
"152",2
"153",3
"154",4
"155",5
"156",6
"157",7
"158",5
"159",6
"160",5
"161",2
"162",4
"163",2
"164",3
"165",4
"166",3
"167",1
"168",5
"169",5
"170",7
"171",3
"172",3
"173",6
"174",2
"175",6
"176",3
"177",1
"178",7
"179",7
"180",6
"181",1
"182",6
"183",3
"184",5
"185",5
"186",5
"187",4
"188",7
"189",4
"190",4
"191",4
"192",2
"193",6
"194",4
"195",3
"196",2
"197",3
"198",3
"199",4
"200",4
