"","x"
"1",8
"2",1
"3",5
"4",7
"5",3
"6",1
"7",8
"8",8
"9",6
"10",2
"11",2
"12",9
"13",11
"14",7
"15",2
"16",8
"17",4
"18",4
"19",9
"20",5
"21",5
"22",6
"23",1
"24",11
"25",2
"26",11
"27",5
"28",3
"29",3
"30",3
"31",8
"32",3
"33",5
"34",11
"35",3
"36",3
"37",11
"38",9
"39",3
"40",11
"41",1
"42",3
"43",3
"44",3
"45",11
"46",10
"47",8
"48",7
"49",9
"50",11
"51",1
"52",4
"53",8
"54",9
"55",2
"56",9
"57",8
"58",2
"59",2
"60",6
"61",9
"62",2
"63",7
"64",2
"65",2
"66",9
"67",4
"68",3
"69",1
"70",4
"71",10
"72",3
"73",5
"74",8
"75",2
"76",2
"77",6
"78",7
"79",1
"80",9
"81",3
"82",5
"83",11
"84",10
"85",5
"86",4
"87",7
"88",10
"89",8
"90",5
"91",8
"92",9
"93",3
"94",3
"95",9
"96",11
"97",2
"98",1
"99",11
"100",11
"101",6
"102",1
"103",11
"104",6
"105",8
"106",9
"107",2
"108",11
"109",4
"110",1
"111",3
"112",6
"113",2
"114",1
"115",2
"116",4
"117",4
"118",11
"119",2
"120",5
"121",5
"122",6
"123",6
"124",4
"125",9
"126",1
"127",5
"128",8
"129",8
"130",7
"131",8
"132",5
"133",5
"134",1
"135",1
"136",9
"137",1
"138",5
"139",1
"140",6
"141",3
"142",3
"143",11
"144",4
"145",4
"146",6
"147",11
"148",2
"149",10
"150",6
"151",2
"152",9
"153",4
"154",9
"155",7
"156",10
"157",5
"158",8
"159",2
"160",10
"161",6
"162",11
"163",11
"164",6
"165",10
"166",5
"167",11
"168",8
"169",7
"170",4
"171",4
"172",2
"173",5
"174",7
"175",3
"176",9
"177",8
"178",10
"179",3
"180",3
"181",11
"182",9
"183",7
"184",4
"185",7
"186",8
"187",6
"188",10
"189",8
"190",1
"191",2
"192",8
"193",7
"194",10
"195",8
"196",2
"197",9
"198",2
"199",9
"200",6
