"","x"
"1",5
"2",7
"3",5
"4",2
"5",3
"6",1
"7",1
"8",6
"9",3
"10",3
"11",7
"12",3
"13",4
"14",2
"15",4
"16",2
"17",3
"18",1
"19",6
"20",3
"21",4
"22",7
"23",7
"24",7
"25",1
"26",6
"27",6
"28",4
"29",1
"30",2
"31",5
"32",1
"33",1
"34",7
"35",7
"36",3
"37",1
"38",6
"39",4
"40",3
"41",4
"42",7
"43",7
"44",2
"45",3
"46",1
"47",2
"48",6
"49",6
"50",3
"51",4
"52",1
"53",5
"54",7
"55",6
"56",3
"57",2
"58",2
"59",5
"60",2
"61",7
"62",6
"63",5
"64",2
"65",6
"66",3
"67",2
"68",2
"69",3
"70",4
"71",6
"72",4
"73",2
"74",6
"75",1
"76",2
"77",6
"78",1
"79",1
"80",1
"81",6
"82",6
"83",5
"84",1
"85",3
"86",2
"87",6
"88",5
"89",3
"90",1
"91",6
"92",4
"93",7
"94",5
"95",6
"96",3
"97",5
"98",6
"99",6
"100",1
"101",1
"102",5
"103",7
"104",4
"105",7
"106",6
"107",7
"108",4
"109",2
"110",6
"111",5
"112",6
"113",3
"114",5
"115",6
"116",4
"117",1
"118",3
"119",4
"120",7
"121",6
"122",3
"123",2
"124",5
"125",6
"126",1
"127",5
"128",5
"129",4
"130",4
"131",3
"132",2
"133",1
"134",2
"135",1
"136",4
"137",3
"138",1
"139",1
"140",4
"141",1
"142",4
"143",1
"144",6
"145",3
"146",2
"147",4
"148",7
"149",6
"150",2
"151",6
"152",2
"153",4
"154",4
"155",2
"156",6
"157",2
"158",5
"159",6
"160",5
"161",7
"162",2
"163",6
"164",3
"165",4
"166",5
"167",1
"168",2
"169",7
"170",1
"171",4
"172",3
"173",2
"174",7
"175",4
"176",1
"177",4
"178",7
"179",1
"180",5
"181",4
"182",6
"183",3
"184",5
"185",5
"186",3
"187",7
"188",7
"189",3
"190",3
"191",3
"192",2
"193",6
"194",4
"195",3
"196",6
"197",4
"198",3
"199",4
"200",4
