"","x"
"1",3
"2",7
"3",5
"4",7
"5",2
"6",2
"7",2
"8",6
"9",3
"10",7
"11",7
"12",4
"13",4
"14",2
"15",6
"16",6
"17",7
"18",3
"19",7
"20",2
"21",7
"22",7
"23",1
"24",6
"25",2
"26",2
"27",7
"28",4
"29",7
"30",3
"31",5
"32",1
"33",2
"34",7
"35",6
"36",2
"37",5
"38",7
"39",4
"40",3
"41",1
"42",5
"43",6
"44",6
"45",1
"46",2
"47",4
"48",7
"49",5
"50",5
"51",5
"52",4
"53",3
"54",6
"55",7
"56",6
"57",2
"58",5
"59",1
"60",6
"61",7
"62",4
"63",7
"64",2
"65",6
"66",2
"67",2
"68",7
"69",1
"70",6
"71",3
"72",5
"73",3
"74",7
"75",3
"76",6
"77",7
"78",1
"79",1
"80",4
"81",4
"82",7
"83",3
"84",2
"85",6
"86",3
"87",7
"88",5
"89",4
"90",1
"91",7
"92",5
"93",3
"94",7
"95",7
"96",4
"97",7
"98",7
"99",7
"100",2
"101",7
"102",5
"103",5
"104",5
"105",4
"106",7
"107",7
"108",5
"109",3
"110",6
"111",4
"112",6
"113",5
"114",5
"115",7
"116",5
"117",1
"118",2
"119",5
"120",7
"121",7
"122",3
"123",3
"124",6
"125",5
"126",1
"127",4
"128",1
"129",2
"130",5
"131",5
"132",6
"133",1
"134",6
"135",1
"136",3
"137",4
"138",2
"139",7
"140",4
"141",1
"142",4
"143",1
"144",5
"145",5
"146",1
"147",7
"148",2
"149",2
"150",3
"151",4
"152",3
"153",2
"154",5
"155",5
"156",4
"157",4
"158",6
"159",6
"160",5
"161",3
"162",7
"163",1
"164",3
"165",5
"166",5
"167",2
"168",7
"169",7
"170",7
"171",3
"172",2
"173",4
"174",7
"175",3
"176",5
"177",1
"178",6
"179",1
"180",6
"181",7
"182",6
"183",3
"184",6
"185",5
"186",2
"187",1
"188",7
"189",5
"190",5
"191",1
"192",7
"193",6
"194",4
"195",4
"196",4
"197",7
"198",1
"199",4
"200",4
