"","x"
"1",8
"2",3
"3",8
"4",7
"5",1
"6",2
"7",3
"8",7
"9",11
"10",8
"11",2
"12",2
"13",11
"14",5
"15",9
"16",4
"17",4
"18",4
"19",9
"20",7
"21",4
"22",3
"23",1
"24",6
"25",9
"26",11
"27",5
"28",10
"29",2
"30",4
"31",5
"32",6
"33",5
"34",8
"35",7
"36",6
"37",11
"38",11
"39",3
"40",2
"41",5
"42",1
"43",4
"44",5
"45",10
"46",8
"47",8
"48",6
"49",1
"50",7
"51",6
"52",7
"53",3
"54",9
"55",10
"56",9
"57",10
"58",5
"59",2
"60",8
"61",9
"62",7
"63",7
"64",1
"65",9
"66",9
"67",4
"68",2
"69",1
"70",5
"71",10
"72",3
"73",8
"74",10
"75",2
"76",7
"77",10
"78",7
"79",4
"80",1
"81",3
"82",5
"83",11
"84",7
"85",5
"86",4
"87",6
"88",11
"89",1
"90",5
"91",9
"92",7
"93",9
"94",1
"95",11
"96",4
"97",11
"98",1
"99",11
"100",5
"101",6
"102",10
"103",4
"104",10
"105",8
"106",9
"107",3
"108",4
"109",11
"110",4
"111",3
"112",2
"113",3
"114",1
"115",1
"116",4
"117",3
"118",11
"119",2
"120",6
"121",11
"122",8
"123",7
"124",9
"125",9
"126",1
"127",8
"128",3
"129",10
"130",6
"131",11
"132",5
"133",2
"134",3
"135",6
"136",2
"137",4
"138",10
"139",2
"140",6
"141",4
"142",2
"143",9
"144",5
"145",11
"146",6
"147",10
"148",9
"149",6
"150",4
"151",6
"152",11
"153",10
"154",9
"155",4
"156",10
"157",4
"158",7
"159",2
"160",10
"161",6
"162",6
"163",3
"164",3
"165",7
"166",2
"167",4
"168",8
"169",7
"170",10
"171",4
"172",6
"173",5
"174",4
"175",3
"176",9
"177",3
"178",6
"179",3
"180",3
"181",7
"182",9
"183",7
"184",3
"185",10
"186",5
"187",7
"188",10
"189",3
"190",1
"191",2
"192",8
"193",6
"194",3
"195",11
"196",11
"197",7
"198",5
"199",8
"200",3
