"","x"
"1",8
"2",4
"3",4
"4",7
"5",8
"6",3
"7",5
"8",10
"9",5
"10",8
"11",2
"12",9
"13",11
"14",11
"15",11
"16",3
"17",5
"18",4
"19",9
"20",10
"21",3
"22",9
"23",8
"24",9
"25",5
"26",11
"27",5
"28",9
"29",3
"30",7
"31",3
"32",2
"33",5
"34",3
"35",4
"36",2
"37",11
"38",5
"39",1
"40",10
"41",10
"42",2
"43",3
"44",10
"45",6
"46",11
"47",8
"48",4
"49",11
"50",11
"51",7
"52",1
"53",4
"54",9
"55",2
"56",8
"57",4
"58",1
"59",2
"60",3
"61",9
"62",7
"63",7
"64",3
"65",2
"66",9
"67",4
"68",3
"69",1
"70",10
"71",10
"72",10
"73",5
"74",3
"75",2
"76",2
"77",6
"78",7
"79",1
"80",11
"81",9
"82",5
"83",11
"84",3
"85",5
"86",4
"87",2
"88",1
"89",1
"90",5
"91",8
"92",7
"93",2
"94",3
"95",10
"96",5
"97",2
"98",1
"99",11
"100",6
"101",6
"102",9
"103",10
"104",7
"105",8
"106",9
"107",2
"108",10
"109",7
"110",4
"111",2
"112",2
"113",6
"114",6
"115",2
"116",1
"117",3
"118",11
"119",11
"120",8
"121",5
"122",8
"123",2
"124",11
"125",3
"126",1
"127",9
"128",10
"129",1
"130",4
"131",3
"132",4
"133",9
"134",6
"135",8
"136",3
"137",8
"138",8
"139",11
"140",6
"141",5
"142",1
"143",8
"144",3
"145",6
"146",6
"147",2
"148",6
"149",10
"150",2
"151",6
"152",6
"153",6
"154",9
"155",1
"156",10
"157",8
"158",3
"159",9
"160",10
"161",6
"162",6
"163",7
"164",9
"165",1
"166",8
"167",11
"168",8
"169",7
"170",5
"171",4
"172",6
"173",9
"174",10
"175",3
"176",2
"177",3
"178",6
"179",3
"180",3
"181",3
"182",9
"183",7
"184",11
"185",3
"186",11
"187",10
"188",10
"189",1
"190",1
"191",2
"192",8
"193",6
"194",8
"195",2
"196",4
"197",9
"198",10
"199",6
"200",8
