"","x"
"1",8
"2",11
"3",2
"4",9
"5",11
"6",1
"7",3
"8",2
"9",4
"10",5
"11",2
"12",2
"13",11
"14",1
"15",2
"16",9
"17",5
"18",4
"19",9
"20",6
"21",5
"22",4
"23",10
"24",5
"25",9
"26",11
"27",5
"28",11
"29",4
"30",3
"31",8
"32",11
"33",5
"34",10
"35",5
"36",6
"37",11
"38",1
"39",3
"40",1
"41",11
"42",3
"43",3
"44",11
"45",9
"46",10
"47",8
"48",5
"49",1
"50",4
"51",3
"52",4
"53",1
"54",9
"55",10
"56",8
"57",6
"58",1
"59",2
"60",1
"61",9
"62",11
"63",7
"64",9
"65",1
"66",9
"67",4
"68",3
"69",1
"70",2
"71",10
"72",4
"73",8
"74",6
"75",2
"76",3
"77",1
"78",7
"79",9
"80",7
"81",4
"82",5
"83",11
"84",11
"85",5
"86",4
"87",5
"88",5
"89",9
"90",5
"91",8
"92",8
"93",2
"94",6
"95",2
"96",9
"97",2
"98",1
"99",11
"100",4
"101",7
"102",7
"103",8
"104",3
"105",8
"106",2
"107",9
"108",11
"109",9
"110",3
"111",8
"112",9
"113",7
"114",7
"115",2
"116",7
"117",10
"118",11
"119",4
"120",2
"121",5
"122",10
"123",5
"124",5
"125",6
"126",1
"127",4
"128",10
"129",8
"130",7
"131",10
"132",2
"133",2
"134",2
"135",11
"136",5
"137",10
"138",5
"139",6
"140",6
"141",8
"142",7
"143",6
"144",2
"145",4
"146",6
"147",8
"148",2
"149",10
"150",10
"151",2
"152",11
"153",4
"154",9
"155",3
"156",10
"157",4
"158",3
"159",5
"160",10
"161",6
"162",1
"163",1
"164",8
"165",1
"166",2
"167",2
"168",8
"169",7
"170",4
"171",4
"172",1
"173",3
"174",8
"175",3
"176",11
"177",4
"178",10
"179",3
"180",3
"181",3
"182",9
"183",7
"184",7
"185",11
"186",5
"187",8
"188",10
"189",10
"190",1
"191",2
"192",8
"193",3
"194",9
"195",1
"196",2
"197",6
"198",9
"199",8
"200",8
