"","x"
"1",8
"2",10
"3",1
"4",10
"5",1
"6",2
"7",7
"8",10
"9",9
"10",8
"11",2
"12",2
"13",11
"14",5
"15",9
"16",2
"17",3
"18",4
"19",9
"20",2
"21",8
"22",10
"23",10
"24",1
"25",7
"26",11
"27",5
"28",11
"29",1
"30",7
"31",4
"32",11
"33",5
"34",4
"35",10
"36",3
"37",11
"38",2
"39",8
"40",6
"41",8
"42",3
"43",3
"44",3
"45",11
"46",10
"47",8
"48",5
"49",1
"50",7
"51",8
"52",11
"53",2
"54",9
"55",1
"56",1
"57",3
"58",7
"59",3
"60",5
"61",9
"62",11
"63",7
"64",4
"65",5
"66",9
"67",4
"68",3
"69",1
"70",3
"71",10
"72",6
"73",11
"74",10
"75",2
"76",2
"77",9
"78",7
"79",7
"80",3
"81",8
"82",5
"83",11
"84",8
"85",5
"86",4
"87",3
"88",6
"89",5
"90",5
"91",8
"92",1
"93",6
"94",9
"95",5
"96",7
"97",2
"98",1
"99",11
"100",9
"101",5
"102",7
"103",8
"104",9
"105",8
"106",10
"107",2
"108",11
"109",2
"110",2
"111",6
"112",9
"113",2
"114",8
"115",2
"116",3
"117",7
"118",11
"119",2
"120",2
"121",6
"122",7
"123",8
"124",4
"125",9
"126",1
"127",8
"128",4
"129",11
"130",6
"131",8
"132",10
"133",10
"134",4
"135",1
"136",2
"137",1
"138",8
"139",2
"140",6
"141",11
"142",1
"143",9
"144",7
"145",7
"146",6
"147",5
"148",7
"149",6
"150",1
"151",6
"152",3
"153",11
"154",9
"155",1
"156",10
"157",9
"158",5
"159",9
"160",10
"161",6
"162",11
"163",8
"164",7
"165",11
"166",10
"167",1
"168",8
"169",7
"170",11
"171",4
"172",7
"173",5
"174",10
"175",3
"176",3
"177",4
"178",8
"179",3
"180",3
"181",6
"182",9
"183",7
"184",2
"185",1
"186",6
"187",9
"188",10
"189",6
"190",1
"191",2
"192",8
"193",7
"194",3
"195",9
"196",11
"197",3
"198",5
"199",11
"200",7
