"","x"
"1",1
"2",7
"3",3
"4",4
"5",3
"6",2
"7",4
"8",6
"9",2
"10",4
"11",7
"12",3
"13",4
"14",2
"15",7
"16",5
"17",6
"18",6
"19",6
"20",3
"21",7
"22",7
"23",5
"24",6
"25",1
"26",2
"27",6
"28",6
"29",1
"30",2
"31",2
"32",1
"33",1
"34",7
"35",4
"36",1
"37",7
"38",6
"39",4
"40",3
"41",4
"42",3
"43",4
"44",4
"45",2
"46",4
"47",6
"48",6
"49",5
"50",7
"51",4
"52",4
"53",4
"54",5
"55",7
"56",3
"57",7
"58",6
"59",3
"60",5
"61",1
"62",7
"63",2
"64",1
"65",6
"66",3
"67",2
"68",2
"69",7
"70",3
"71",7
"72",4
"73",2
"74",3
"75",3
"76",6
"77",7
"78",1
"79",1
"80",3
"81",6
"82",3
"83",2
"84",1
"85",3
"86",7
"87",6
"88",5
"89",2
"90",3
"91",4
"92",4
"93",2
"94",5
"95",6
"96",7
"97",2
"98",7
"99",6
"100",7
"101",3
"102",5
"103",2
"104",4
"105",6
"106",4
"107",1
"108",1
"109",2
"110",6
"111",4
"112",6
"113",4
"114",5
"115",4
"116",1
"117",1
"118",3
"119",4
"120",7
"121",6
"122",4
"123",6
"124",7
"125",1
"126",1
"127",7
"128",2
"129",2
"130",4
"131",7
"132",2
"133",6
"134",2
"135",6
"136",6
"137",4
"138",1
"139",4
"140",4
"141",1
"142",2
"143",1
"144",6
"145",2
"146",6
"147",3
"148",3
"149",1
"150",2
"151",3
"152",2
"153",3
"154",4
"155",3
"156",6
"157",4
"158",5
"159",6
"160",5
"161",7
"162",6
"163",4
"164",3
"165",7
"166",7
"167",1
"168",7
"169",4
"170",5
"171",5
"172",1
"173",1
"174",6
"175",6
"176",1
"177",2
"178",7
"179",4
"180",4
"181",4
"182",4
"183",3
"184",5
"185",5
"186",2
"187",5
"188",7
"189",6
"190",3
"191",2
"192",3
"193",6
"194",4
"195",3
"196",3
"197",1
"198",3
"199",4
"200",4
