"","x"
"1",1
"2",7
"3",3
"4",3
"5",3
"6",6
"7",2
"8",6
"9",6
"10",3
"11",7
"12",3
"13",4
"14",5
"15",5
"16",3
"17",2
"18",2
"19",6
"20",5
"21",7
"22",7
"23",6
"24",3
"25",1
"26",7
"27",3
"28",4
"29",5
"30",7
"31",7
"32",1
"33",1
"34",7
"35",2
"36",6
"37",2
"38",6
"39",4
"40",3
"41",6
"42",7
"43",1
"44",2
"45",3
"46",2
"47",4
"48",6
"49",4
"50",2
"51",4
"52",1
"53",6
"54",5
"55",3
"56",3
"57",5
"58",1
"59",1
"60",6
"61",6
"62",5
"63",7
"64",4
"65",6
"66",3
"67",2
"68",2
"69",1
"70",7
"71",6
"72",4
"73",2
"74",6
"75",7
"76",5
"77",2
"78",1
"79",1
"80",7
"81",5
"82",1
"83",3
"84",1
"85",5
"86",6
"87",6
"88",5
"89",4
"90",2
"91",3
"92",4
"93",3
"94",5
"95",6
"96",5
"97",5
"98",5
"99",6
"100",6
"101",1
"102",4
"103",6
"104",4
"105",4
"106",2
"107",4
"108",7
"109",2
"110",6
"111",5
"112",6
"113",2
"114",5
"115",2
"116",6
"117",1
"118",3
"119",4
"120",7
"121",6
"122",1
"123",6
"124",5
"125",3
"126",1
"127",3
"128",7
"129",2
"130",4
"131",4
"132",7
"133",5
"134",4
"135",6
"136",1
"137",2
"138",1
"139",2
"140",4
"141",1
"142",2
"143",1
"144",6
"145",2
"146",7
"147",5
"148",5
"149",5
"150",2
"151",4
"152",2
"153",6
"154",4
"155",7
"156",6
"157",1
"158",5
"159",6
"160",5
"161",3
"162",6
"163",5
"164",3
"165",6
"166",1
"167",1
"168",3
"169",7
"170",5
"171",6
"172",1
"173",3
"174",2
"175",5
"176",2
"177",5
"178",2
"179",1
"180",3
"181",3
"182",5
"183",3
"184",5
"185",5
"186",7
"187",4
"188",7
"189",4
"190",3
"191",6
"192",7
"193",6
"194",4
"195",3
"196",6
"197",7
"198",3
"199",4
"200",4
