"","x"
"1",3
"2",7
"3",3
"4",5
"5",3
"6",2
"7",1
"8",6
"9",3
"10",2
"11",7
"12",5
"13",4
"14",2
"15",7
"16",4
"17",3
"18",2
"19",6
"20",4
"21",7
"22",7
"23",1
"24",3
"25",1
"26",5
"27",7
"28",7
"29",2
"30",6
"31",6
"32",1
"33",1
"34",7
"35",3
"36",4
"37",4
"38",6
"39",4
"40",3
"41",2
"42",4
"43",7
"44",2
"45",2
"46",7
"47",6
"48",6
"49",3
"50",2
"51",4
"52",4
"53",7
"54",6
"55",3
"56",6
"57",5
"58",2
"59",1
"60",3
"61",4
"62",6
"63",3
"64",4
"65",6
"66",3
"67",2
"68",2
"69",6
"70",5
"71",7
"72",4
"73",2
"74",7
"75",5
"76",5
"77",1
"78",1
"79",1
"80",6
"81",3
"82",5
"83",7
"84",1
"85",4
"86",3
"87",6
"88",5
"89",4
"90",4
"91",6
"92",4
"93",2
"94",2
"95",6
"96",3
"97",4
"98",2
"99",6
"100",6
"101",7
"102",4
"103",2
"104",4
"105",6
"106",6
"107",7
"108",4
"109",2
"110",6
"111",7
"112",6
"113",1
"114",5
"115",4
"116",6
"117",1
"118",3
"119",4
"120",7
"121",6
"122",5
"123",7
"124",2
"125",6
"126",2
"127",7
"128",6
"129",5
"130",4
"131",1
"132",2
"133",3
"134",1
"135",6
"136",6
"137",1
"138",1
"139",5
"140",1
"141",1
"142",2
"143",1
"144",6
"145",7
"146",1
"147",4
"148",2
"149",1
"150",2
"151",2
"152",2
"153",3
"154",4
"155",4
"156",6
"157",4
"158",5
"159",6
"160",5
"161",7
"162",6
"163",6
"164",3
"165",5
"166",6
"167",1
"168",6
"169",5
"170",5
"171",1
"172",1
"173",3
"174",6
"175",5
"176",7
"177",5
"178",4
"179",6
"180",5
"181",5
"182",4
"183",3
"184",5
"185",5
"186",4
"187",7
"188",7
"189",4
"190",4
"191",4
"192",7
"193",6
"194",4
"195",3
"196",4
"197",7
"198",3
"199",4
"200",4
