"","x"
"1",4
"2",7
"3",1
"4",3
"5",3
"6",1
"7",5
"8",6
"9",6
"10",1
"11",7
"12",4
"13",4
"14",1
"15",7
"16",1
"17",5
"18",4
"19",6
"20",6
"21",2
"22",7
"23",4
"24",4
"25",1
"26",6
"27",6
"28",4
"29",5
"30",4
"31",3
"32",1
"33",1
"34",7
"35",4
"36",5
"37",3
"38",6
"39",4
"40",3
"41",3
"42",5
"43",2
"44",1
"45",6
"46",2
"47",6
"48",6
"49",6
"50",6
"51",4
"52",2
"53",2
"54",5
"55",4
"56",7
"57",5
"58",2
"59",3
"60",4
"61",6
"62",7
"63",3
"64",2
"65",6
"66",3
"67",2
"68",2
"69",4
"70",5
"71",2
"72",4
"73",2
"74",3
"75",1
"76",2
"77",2
"78",1
"79",1
"80",7
"81",3
"82",5
"83",3
"84",1
"85",3
"86",7
"87",6
"88",5
"89",7
"90",2
"91",4
"92",4
"93",2
"94",2
"95",6
"96",1
"97",5
"98",1
"99",6
"100",3
"101",5
"102",3
"103",6
"104",4
"105",4
"106",4
"107",3
"108",4
"109",2
"110",6
"111",4
"112",6
"113",7
"114",5
"115",1
"116",6
"117",1
"118",3
"119",4
"120",7
"121",6
"122",2
"123",5
"124",2
"125",2
"126",1
"127",3
"128",3
"129",7
"130",4
"131",1
"132",6
"133",5
"134",7
"135",4
"136",3
"137",5
"138",1
"139",7
"140",1
"141",1
"142",1
"143",1
"144",6
"145",6
"146",7
"147",3
"148",6
"149",7
"150",2
"151",6
"152",2
"153",2
"154",4
"155",7
"156",6
"157",3
"158",5
"159",6
"160",5
"161",3
"162",6
"163",4
"164",3
"165",7
"166",5
"167",1
"168",6
"169",5
"170",4
"171",6
"172",6
"173",1
"174",6
"175",4
"176",4
"177",1
"178",2
"179",2
"180",2
"181",1
"182",4
"183",3
"184",5
"185",5
"186",7
"187",3
"188",7
"189",7
"190",7
"191",3
"192",4
"193",6
"194",4
"195",3
"196",7
"197",2
"198",3
"199",4
"200",4
