"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.0128645913623465,0.015987094355638,0.0145525082845661,0.0125277671090694,0.00212916201952745,0.00610441080395673,0.00172842199315795,0.0161946157310312,0.0142688050261388
"2",0.0520718431469105,0.00579948444474239,0.00626434433419481,0.0524105802987527,0.0168876221450713,0.0822867350566853,0.074932568794745,0.00679080141129092,0.0917145900861781
"3",0.022484796249637,0.0127686537665966,0.00400734283256102,0.010634445763631,0.000822324191140559,0.0511874577426056,0.038158348780714,0.0514726236348727,0.00135137321099491
"4",0.177928158150099,0.0566048521350708,0.0491150425984164,0.160237440821629,0.112035001011399,0.010624723340468,0.0208526084037257,0.000109607107514265,0.0408410637149802
"5",0.0249453803055969,0.0399460029961009,0.00621631308158683,0.0255754651640152,0.0430509681690835,0.0199951950662489,0.0179705570198701,0.00469363258164699,0.0266250972531488
"6",0.299778590492269,0.147847337295475,0.116076189698718,0.0727563280734975,0.146660453408693,0.142656593261332,0.0610464938741375,0.0888170348999986,0.00322967966851679
"7",0.0306613109565251,0.0551423982914422,0.0048997086216182,0.0281281124871667,0.00941175275565262,0.000837957897652431,0.0174937593519426,0.00719650497847243,0.0124922870382071
"8",0.00566719992977291,0.015934636243857,0.0327004332711956,0.0513355086877613,0.0822337110213752,0.00958775983141845,0.00741992164353041,0.0175807983544411,0.00829985625880046
"9",0.023188240916422,0.00259260523993466,0.000404380768262029,0.0238733436789045,0.0325455628716399,0.00305881761041664,0.00161393407512892,0.0106199374865499,0.0093213201886104
"10",0.0121526240673558,0.0172542427430714,0.00565401356869252,0.00979798087005512,0.0140948036785383,0.0349257918192199,0.0140774244347818,0.0138308187111118,0.0581521802876369
"11",0.0688468113718614,0.0909055033604249,0.054402418876462,0.0127782563529655,0.0150065892011349,0.0090642923685348,0.0244275570380019,0.0159186834232251,0.0962037127183496
"12",0.00376131865101861,0.0108296858119796,0.000377069051166962,2.48397420966419e-06,0.0121868374856173,0.000811035803222171,0.331912180933268,0.268261531398112,0.241241106067237
"13",0.0559897609062753,0.19734024879733,0.311921231495428,0.0943654586589679,0.230309170712525,0.133230092875427,0.0406041275928754,0.00477907227054905,0.016692246649168
"14",0.0467683171903354,0.178940785293108,0.208061725173252,0.245982955851568,0.141063065994078,0.181966369886743,0.0321812967498343,0.0532817549885037,0.0225800774070244
"15",0.0696173112051684,0.0251873114296977,0.0480654616953289,0.126383569457464,0.0492217759634489,0.0383393545812617,0.0588093897821193,0.0173695816365323,0.0407982676542244
"16",0.00508021554763204,0.0311564173226753,0.044385874292534,0.0425326519372501,0.0469550794130242,0.184899182183248,0.155185663618335,0.371081672217617,0.214051151052131
"17",0.0334527402459671,0.0657996027761235,0.0480896297308424,0.000227679412786017,0.00228907414378905,0.0134883462939576,0.019160331042091,0.0270266454901243,0.0240688864919729
"18",0.0156709569709249,0.0206108426894791,0.019572766613686,0.0022081294124397,0.0167793038776169,0.0584126752388774,0.00333922576493268,0.00727960026260951,0.0483671283729389
"19",0.0111680495228868,0.00210123189435847,0.00134238481666061,0.0279336087541167,0.00784208117831157,0.00644888207517471,0.00910753115337192,0.0120130900525953,0.0247660127021291
"20",0.0279017828109946,0.0072510631128946,0.0238911611948284,0.00030823323375043,0.0184756607583336,0.0120743262635503,0.0699786579534368,0.00568199336320123,0.00493515815161292
