"","x"
"1",8
"2",4
"3",1
"4",5
"5",1
"6",11
"7",3
"8",8
"9",2
"10",8
"11",2
"12",5
"13",11
"14",3
"15",10
"16",6
"17",7
"18",4
"19",9
"20",6
"21",8
"22",1
"23",3
"24",6
"25",10
"26",11
"27",5
"28",9
"29",3
"30",11
"31",11
"32",10
"33",5
"34",8
"35",5
"36",7
"37",11
"38",4
"39",2
"40",4
"41",7
"42",2
"43",3
"44",8
"45",1
"46",10
"47",8
"48",3
"49",1
"50",1
"51",11
"52",6
"53",1
"54",9
"55",9
"56",8
"57",6
"58",11
"59",8
"60",4
"61",9
"62",2
"63",7
"64",6
"65",11
"66",9
"67",4
"68",3
"69",1
"70",8
"71",10
"72",7
"73",1
"74",10
"75",2
"76",5
"77",7
"78",7
"79",5
"80",2
"81",4
"82",5
"83",11
"84",5
"85",5
"86",4
"87",9
"88",5
"89",9
"90",5
"91",8
"92",3
"93",10
"94",4
"95",8
"96",2
"97",2
"98",1
"99",11
"100",7
"101",1
"102",4
"103",9
"104",7
"105",8
"106",11
"107",2
"108",10
"109",1
"110",5
"111",4
"112",10
"113",2
"114",7
"115",2
"116",4
"117",4
"118",11
"119",5
"120",8
"121",8
"122",2
"123",2
"124",4
"125",4
"126",1
"127",5
"128",6
"129",3
"130",3
"131",1
"132",2
"133",4
"134",9
"135",2
"136",2
"137",8
"138",10
"139",9
"140",6
"141",8
"142",2
"143",4
"144",6
"145",8
"146",6
"147",9
"148",4
"149",2
"150",1
"151",6
"152",1
"153",11
"154",9
"155",8
"156",10
"157",2
"158",11
"159",8
"160",10
"161",6
"162",6
"163",10
"164",2
"165",7
"166",11
"167",3
"168",8
"169",7
"170",9
"171",4
"172",11
"173",10
"174",4
"175",3
"176",6
"177",11
"178",4
"179",3
"180",3
"181",1
"182",9
"183",7
"184",8
"185",1
"186",5
"187",5
"188",10
"189",6
"190",1
"191",2
"192",8
"193",1
"194",8
"195",4
"196",9
"197",5
"198",10
"199",11
"200",8
