"","x"
"1",8
"2",6
"3",8
"4",2
"5",6
"6",1
"7",5
"8",3
"9",8
"10",8
"11",2
"12",2
"13",11
"14",2
"15",4
"16",7
"17",3
"18",4
"19",9
"20",3
"21",8
"22",1
"23",2
"24",11
"25",1
"26",11
"27",5
"28",4
"29",10
"30",1
"31",11
"32",5
"33",5
"34",5
"35",4
"36",6
"37",11
"38",2
"39",10
"40",9
"41",8
"42",3
"43",3
"44",5
"45",7
"46",10
"47",8
"48",10
"49",4
"50",8
"51",11
"52",7
"53",3
"54",9
"55",6
"56",11
"57",9
"58",2
"59",1
"60",9
"61",9
"62",11
"63",7
"64",1
"65",11
"66",9
"67",4
"68",3
"69",1
"70",4
"71",10
"72",8
"73",6
"74",8
"75",2
"76",10
"77",1
"78",7
"79",4
"80",5
"81",7
"82",5
"83",11
"84",5
"85",5
"86",4
"87",6
"88",5
"89",5
"90",5
"91",8
"92",4
"93",9
"94",4
"95",8
"96",7
"97",2
"98",1
"99",11
"100",10
"101",9
"102",4
"103",5
"104",1
"105",8
"106",5
"107",6
"108",10
"109",9
"110",8
"111",4
"112",7
"113",11
"114",4
"115",2
"116",2
"117",4
"118",11
"119",6
"120",2
"121",11
"122",9
"123",6
"124",7
"125",8
"126",1
"127",10
"128",10
"129",1
"130",10
"131",10
"132",3
"133",8
"134",2
"135",10
"136",7
"137",2
"138",10
"139",5
"140",6
"141",8
"142",11
"143",2
"144",8
"145",1
"146",6
"147",4
"148",8
"149",10
"150",3
"151",2
"152",11
"153",1
"154",9
"155",9
"156",10
"157",4
"158",6
"159",10
"160",10
"161",6
"162",1
"163",3
"164",8
"165",10
"166",2
"167",11
"168",8
"169",7
"170",10
"171",4
"172",10
"173",9
"174",11
"175",3
"176",2
"177",2
"178",2
"179",3
"180",3
"181",11
"182",9
"183",7
"184",1
"185",8
"186",4
"187",2
"188",10
"189",3
"190",1
"191",2
"192",8
"193",2
"194",11
"195",9
"196",10
"197",5
"198",7
"199",10
"200",9
