"","x"
"1",8
"2",10
"3",3
"4",8
"5",2
"6",10
"7",4
"8",8
"9",9
"10",8
"11",2
"12",4
"13",11
"14",2
"15",8
"16",6
"17",11
"18",4
"19",9
"20",10
"21",3
"22",11
"23",6
"24",11
"25",4
"26",11
"27",5
"28",4
"29",1
"30",4
"31",4
"32",5
"33",5
"34",7
"35",9
"36",5
"37",11
"38",5
"39",6
"40",8
"41",9
"42",10
"43",3
"44",7
"45",7
"46",4
"47",8
"48",8
"49",4
"50",11
"51",5
"52",10
"53",2
"54",9
"55",3
"56",8
"57",11
"58",3
"59",2
"60",6
"61",9
"62",1
"63",7
"64",8
"65",8
"66",9
"67",4
"68",3
"69",1
"70",5
"71",10
"72",8
"73",6
"74",1
"75",2
"76",3
"77",11
"78",7
"79",4
"80",2
"81",8
"82",5
"83",11
"84",9
"85",5
"86",4
"87",11
"88",2
"89",3
"90",5
"91",8
"92",7
"93",11
"94",3
"95",10
"96",2
"97",1
"98",1
"99",11
"100",7
"101",5
"102",1
"103",2
"104",9
"105",8
"106",7
"107",7
"108",3
"109",9
"110",2
"111",1
"112",1
"113",3
"114",2
"115",2
"116",7
"117",5
"118",11
"119",2
"120",4
"121",6
"122",11
"123",10
"124",11
"125",8
"126",1
"127",4
"128",11
"129",10
"130",2
"131",6
"132",8
"133",8
"134",6
"135",9
"136",11
"137",3
"138",3
"139",4
"140",6
"141",3
"142",2
"143",10
"144",1
"145",7
"146",6
"147",6
"148",1
"149",10
"150",5
"151",6
"152",4
"153",11
"154",9
"155",5
"156",10
"157",9
"158",8
"159",1
"160",10
"161",6
"162",6
"163",2
"164",4
"165",11
"166",1
"167",3
"168",8
"169",7
"170",8
"171",4
"172",11
"173",11
"174",11
"175",3
"176",7
"177",8
"178",8
"179",3
"180",3
"181",3
"182",9
"183",7
"184",2
"185",11
"186",1
"187",10
"188",10
"189",4
"190",1
"191",2
"192",8
"193",10
"194",2
"195",4
"196",11
"197",3
"198",5
"199",1
"200",10
