"","x"
"1",3
"2",7
"3",7
"4",6
"5",3
"6",5
"7",4
"8",6
"9",2
"10",1
"11",7
"12",2
"13",4
"14",1
"15",4
"16",7
"17",4
"18",7
"19",6
"20",5
"21",4
"22",7
"23",6
"24",4
"25",1
"26",6
"27",4
"28",4
"29",7
"30",2
"31",3
"32",1
"33",1
"34",7
"35",4
"36",4
"37",5
"38",6
"39",4
"40",3
"41",3
"42",2
"43",1
"44",4
"45",5
"46",5
"47",6
"48",6
"49",2
"50",1
"51",4
"52",6
"53",2
"54",3
"55",2
"56",2
"57",4
"58",5
"59",4
"60",7
"61",3
"62",1
"63",3
"64",4
"65",6
"66",3
"67",2
"68",2
"69",7
"70",2
"71",6
"72",4
"73",2
"74",4
"75",2
"76",7
"77",5
"78",1
"79",1
"80",5
"81",2
"82",3
"83",3
"84",1
"85",4
"86",2
"87",6
"88",5
"89",2
"90",7
"91",4
"92",4
"93",3
"94",5
"95",6
"96",3
"97",5
"98",6
"99",6
"100",1
"101",1
"102",5
"103",5
"104",4
"105",5
"106",2
"107",5
"108",5
"109",2
"110",6
"111",7
"112",6
"113",6
"114",5
"115",5
"116",2
"117",1
"118",3
"119",4
"120",7
"121",6
"122",2
"123",5
"124",5
"125",5
"126",2
"127",7
"128",1
"129",3
"130",4
"131",3
"132",4
"133",5
"134",3
"135",5
"136",6
"137",2
"138",1
"139",4
"140",2
"141",1
"142",1
"143",1
"144",6
"145",6
"146",4
"147",7
"148",4
"149",7
"150",2
"151",7
"152",2
"153",2
"154",4
"155",4
"156",6
"157",3
"158",5
"159",6
"160",5
"161",7
"162",4
"163",2
"164",3
"165",5
"166",4
"167",1
"168",1
"169",6
"170",5
"171",5
"172",2
"173",7
"174",6
"175",7
"176",3
"177",5
"178",6
"179",3
"180",1
"181",6
"182",6
"183",3
"184",5
"185",5
"186",3
"187",4
"188",7
"189",4
"190",3
"191",5
"192",7
"193",6
"194",4
"195",3
"196",3
"197",5
"198",3
"199",4
"200",4
